Nombre,Modelo,Parametros,r2_score,MAE,MSE
SVR,"SVR(C=0.2, cache_size=100, coef0=-0.5, epsilon=0.01, max_iter=600, tol=1e-06)","{'C': 0.2, 'cache_size': 100, 'coef0': -0.5, 'degree': 3, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 600, 'shrinking': True, 'tol': 1e-06, 'verbose': False}",0.43352668434982444,0.17442943718934323,0.05199054051916818
GradientBoostingRegressor,"GradientBoostingRegressor(alpha=0.95, learning_rate=0.05, max_depth=10,
                          max_features='sqrt', min_samples_split=5,
                          subsample=0.7)","{'alpha': 0.95, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 0.7, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.37801505363355525,0.1797154916458243,0.057085360709818754
