Nombre,Modelo,Parametros,r2_score,MAE,MSE
SVR,"SVR(C=0.2, cache_size=50, coef0=-0.5, epsilon=0.02, max_iter=600, tol=1e-06)","{'C': 0.2, 'cache_size': 50, 'coef0': -0.5, 'degree': 3, 'epsilon': 0.02, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 600, 'shrinking': True, 'tol': 1e-06, 'verbose': False}",0.5003316043714121,0.17810018337931763,0.051542895527651046
GradientBoostingRegressor,"GradientBoostingRegressor(loss='huber', max_depth=5, max_features='sqrt',
                          min_samples_leaf=4, min_samples_split=10,
                          subsample=0.5)","{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'huber', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 0.5, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.48475903500499284,0.17963340470579217,0.05314927152215577
