administracion,ciberseguridad,data driven,machine learning engineer,programador,sistemas,herramienta
0.0,0.0,0.06666666666666667,0.06756756756756757,0.004155844155844156,0.016241299303944315,Big Query
0.010752688172043012,0.0,0.013756613756613757,0.0,0.044675324675324674,0.002320185614849188,abap
0.043010752688172046,0.0,0.011640211640211642,0.0,0.034805194805194804,0.025522041763341066,adobe
0.05376344086021506,0.26666666666666666,0.01904761904761905,0.0,0.03168831168831169,0.06728538283062645,aleman
0.016129032258064516,0.06666666666666667,0.008465608465608466,0.0,0.0015584415584415584,0.004640371229698376,amazon grc
0.39247311827956993,0.6666666666666666,0.5640211640211641,0.32432432432432434,0.37454545454545457,0.6032482598607889,amazon ws
0.20430107526881722,0.13333333333333333,0.03703703703703704,0.013513513513513514,0.5381818181818182,0.048723897911832945,angular
0.010752688172043012,0.0,0.0031746031746031746,0.0,0.06077922077922078,0.0,angularjs
0.05913978494623656,0.0,0.1544973544973545,0.013513513513513514,0.09194805194805195,0.11600928074245939,apache
0.0,0.0,0.008465608465608466,0.0,0.006233766233766234,0.0,apigee
0.435483870967742,0.06666666666666667,0.12486772486772488,0.04054054054054054,0.5688311688311688,0.09744779582366589,apirest
0.005376344086021506,0.0,0.0031746031746031746,0.0,0.003116883116883117,0.004640371229698376,appian
0.14516129032258066,0.0,0.0031746031746031746,0.0,0.007272727272727273,0.002320185614849188,appium
0.010752688172043012,0.0,0.005291005291005292,0.0,0.1012987012987013,0.0,aspnet
0.4516129032258065,0.9333333333333333,0.5216931216931218,0.20270270270270271,0.2935064935064935,0.6751740139211136,azure
0.016129032258064516,0.06666666666666667,0.17460317460317462,0.05405405405405406,0.013506493506493506,0.0069605568445475635,azure databricks
0.467741935483871,0.26666666666666666,0.4444444444444445,0.04054054054054054,0.571948051948052,0.494199535962877,base de datos
0.0,0.0,0.0,0.0,0.0015584415584415584,0.0,beautifulsoup
0.2903225806451613,0.06666666666666667,0.38412698412698415,0.06756756756756757,0.12415584415584416,0.10440835266821345,bi
0.21505376344086025,0.8,0.37248677248677253,0.16216216216216217,0.10701298701298702,0.14153132250580047,big data
0.043010752688172046,0.0,0.004232804232804233,0.0,0.10805194805194805,0.0069605568445475635,bootstrap
0.41935483870967744,0.5333333333333333,0.10370370370370371,0.13513513513513514,0.6867532467532468,0.33874709976798145,c++
0.12365591397849464,0.06666666666666667,0.021164021164021166,0.02702702702702703,0.016103896103896103,0.08816705336426914,catalan
0.010752688172043012,0.0,0.006349206349206349,0.0,0.001038961038961039,0.0951276102088167,citrix
0.05376344086021506,0.0,0.009523809523809525,0.0,0.0374025974025974,0.0069605568445475635,cms
0.010752688172043012,0.0,0.020105820105820106,0.0,0.036883116883116886,0.0069605568445475635,cobol
0.1827956989247312,0.0,0.04973544973544974,0.0,0.0587012987012987,0.03248259860788863,confluence
0.0,0.0,0.0010582010582010583,0.0,0.016103896103896103,0.0,cordova
0.010752688172043012,0.0,0.0010582010582010583,0.0,0.0,0.02320185614849188,cpd
0.2956989247311828,0.0,0.07301587301587302,0.0,0.06545454545454546,0.07192575406032482,crm
0.005376344086021506,0.0,0.0010582010582010583,0.0,0.012987012987012988,0.009280742459396751,crystal
0.11290322580645162,0.06666666666666667,0.025396825396825397,0.013513513513513514,0.5516883116883117,0.027842227378190254,css
0.0,0.0,0.010582010582010583,0.0,0.0,0.0,dataguard
0.0,0.0,0.023280423280423283,0.0,0.005714285714285714,0.002320185614849188,dax
0.03225806451612903,0.0,0.04973544973544974,0.0,0.036883116883116886,0.01160092807424594,db2
0.016129032258064516,0.0,0.05714285714285715,0.0,0.0025974025974025974,0.013921113689095127,dba
0.016129032258064516,0.0,0.05185185185185186,0.0,0.001038961038961039,0.0,dbt
0.03763440860215054,0.0,0.005291005291005292,0.0,0.06961038961038961,0.002320185614849188,ddd
0.005376344086021506,0.0,0.0,0.0,0.01818181818181818,0.0,delphi
0.021505376344086023,0.3333333333333333,0.025396825396825397,0.013513513513513514,0.005194805194805195,0.44547563805104406,directorio activo
0.02688172043010753,0.06666666666666667,0.006349206349206349,0.013513513513513514,0.06441558441558441,0.009280742459396751,django
0.18817204301075272,0.13333333333333333,0.2878306878306878,0.2567567567567568,0.3703896103896104,0.27842227378190254,docker
0.021505376344086023,0.0,0.005291005291005292,0.0,0.022857142857142857,0.004640371229698376,drupal
0.005376344086021506,0.0,0.007407407407407408,0.02702702702702703,0.003116883116883117,0.05568445475638051,dynatrace
0.02688172043010753,0.0,0.004232804232804233,0.0,0.056623376623376624,0.004640371229698376,eclipse
0.016129032258064516,0.0,0.05925925925925926,0.013513513513513514,0.05714285714285714,0.048723897911832945,elasticsearch
0.02688172043010753,0.06666666666666667,0.2380952380952381,0.13513513513513514,0.04155844155844156,0.01160092807424594,etl
0.005376344086021506,0.06666666666666667,0.007407407407407408,0.0,0.006233766233766234,0.05336426914153132,euskera
0.39784946236559143,0.26666666666666666,0.2613756613756614,0.06756756756756757,0.03844155844155844,0.22041763341067283,excel
0.005376344086021506,0.0,0.005291005291005292,0.06756756756756757,0.023896103896103894,0.0,fastapi
0.010752688172043012,0.0,0.005291005291005292,0.10810810810810811,0.033766233766233764,0.004640371229698376,flask
0.010752688172043012,0.0,0.0010582010582010583,0.0,0.03272727272727273,0.0,flutter
0.005376344086021506,0.2,0.0021164021164021165,0.0,0.004675324675324675,0.22041763341067283,fortinet
0.005376344086021506,0.0,0.0,0.0,0.007792207792207792,0.04640371229698376,fpga
0.6881720430107527,0.6666666666666666,0.28994708994708995,0.44594594594594594,0.814025974025974,0.2668213457076566,framework
